ms	no_units	uS	kOhms	mV	
1.7127131214191584E12	3.0	0.10811410811410813	9249.486652977412	1143.5897435897434	
1.7127131214386606E12	3.0	0.10811410811410813	9249.486652977412	1209.5238095238094	
1.7127131214581628E12	3.0	0.10811410811410813	9249.486652977412	1315.018315018315	
1.712713121477665E12	3.0	0.10811410811410813	9249.486652977412	1447.6190476190475	
1.7127131214971672E12	3.0	0.10767010767010769	9287.628865979379	1582.4175824175823	
1.7127131215166694E12	3.0	0.10811410811410813	9249.486652977412	1675.4578754578754	
1.7127131215361716E12	3.0	0.10811410811410813	9249.486652977412	1712.087912087912	
1.712713121555674E12	3.0	0.10811410811410813	9249.486652977412	1694.5054945054944	
1.7127131215751763E12	3.0	0.10811410811410813	9249.486652977412	1647.6190476190475	
1.7127131215946785E12	3.0	0.10811410811410813	9249.486652977412	1576.5567765567764	
1.7127131216141807E12	3.0	0.10811410811410813	9249.486652977412	1513.5531135531135	
1.7127131216336829E12	3.0	0.10811410811410813	9249.486652977412	1449.8168498168498	
1.712713121653185E12	3.0	0.10811410811410813	9249.486652977412	1386.8131868131868	
1.7127131216726873E12	3.0	0.10811410811410813	9249.486652977412	1343.5897435897434	
1.7127131216921895E12	3.0	0.10811410811410813	9249.486652977412	1316.4835164835165	
1.712713121711692E12	3.0	0.10811410811410813	9249.486652977412	1301.098901098901	
1.712713121731194E12	3.0	0.10811410811410813	9249.486652977412	1295.2380952380952	
1.7127131217506963E12	3.0	0.10811410811410813	9249.486652977412	1305.4945054945053	
1.7127131217701985E12	3.0	0.10811410811410813	9249.486652977412	1318.6813186813185	
1.7127131217897007E12	3.0	0.10811410811410813	9249.486652977412	1326.007326007326	
1.712713121809203E12	3.0	0.10811410811410813	9249.486652977412	1323.8095238095236	
1.712713121828705E12	3.0	0.10811410811410813	9249.486652977412	1312.087912087912	
1.7127131218482073E12	3.0	0.10811410811410813	9249.486652977412	1294.5054945054944	
1.7127131218677097E12	3.0	0.10811410811410813	9249.486652977412	1275.4578754578754	
1.712713121887212E12	3.0	0.10811410811410813	9249.486652977412	1252.014652014652	
1.712713121906714E12	3.0	0.10811410811410813	9249.486652977412	1243.2234432234432	
1.7127131219262163E12	3.0	0.10811410811410813	9249.486652977412	1241.7582417582416	
1.7127131219457185E12	3.0	0.10811410811410813	9249.486652977412	1235.8974358974358	
1.7127131219652207E12	3.0	0.10811410811410813	9249.486652977412	1215.3846153846152	
1.712713121984723E12	3.0	0.10811410811410813	9249.486652977412	1191.9413919413919	
1.712713122004225E12	3.0	0.10811410811410813	9249.486652977412	1170.6959706959706	
1.7127131220237273E12	3.0	0.10811410811410813	9249.486652977412	1161.1721611721612	
1.7127131220432297E12	3.0	0.10767010767010769	9287.628865979379	1157.5091575091574	
1.712713122062732E12	3.0	0.10811410811410813	9249.486652977412	1153.113553113553	
1.7127131220822341E12	3.0	0.10767010767010769	9287.628865979379	1151.6483516483515	
1.7127131221017363E12	3.0	0.10767010767010769	9287.628865979379	1145.054945054945	
1.7127131221212385E12	3.0	0.10767010767010769	9287.628865979379	1134.7985347985348	
1.7127131221407407E12	3.0	0.10767010767010769	9287.628865979379	1127.4725274725274	
1.712713122160243E12	3.0	0.10767010767010769	9287.628865979379	1141.3919413919414	
1.712713122179745E12	3.0	0.10767010767010769	9287.628865979379	1179.4871794871794	
1.7127131221992476E12	3.0	0.10767010767010769	9287.628865979379	1247.6190476190475	
1.7127131222187498E12	3.0	0.10767010767010769	9287.628865979379	1364.8351648351647	
1.712713122238252E12	3.0	0.10767010767010769	9287.628865979379	1525.2747252747251	
1.7127131222577542E12	3.0	0.10811410811410813	9249.486652977412	1669.5970695970695	
1.7127131222772563E12	3.0	0.10767010767010769	9287.628865979379	1758.2417582417581	
1.7127131222967585E12	3.0	0.10811410811410813	9249.486652977412	1775.091575091575	
1.7127131223162607E12	3.0	0.10767010767010769	9287.628865979379	1733.3333333333333	
1.712713122335763E12	3.0	0.10767010767010769	9287.628865979379	1673.260073260073	
1.7127131223552654E12	3.0	0.10767010767010769	9287.628865979379	1612.4542124542124	
1.7127131223747676E12	3.0	0.10767010767010769	9287.628865979379	1543.5897435897434	
1.7127131223942698E12	3.0	0.10767010767010769	9287.628865979379	1468.8644688644688	
1.712713122413772E12	3.0	0.10767010767010769	9287.628865979379	1413.1868131868132	
1.7127131224332742E12	3.0	0.10767010767010769	9287.628865979379	1380.952380952381	
1.7127131224527764E12	3.0	0.10767010767010769	9287.628865979379	1358.2417582417581	
1.7127131224722786E12	3.0	0.10767010767010769	9287.628865979379	1340.6593406593406	
1.7127131224917808E12	3.0	0.10767010767010769	9287.628865979379	1335.5311355311355	
1.7127131225112832E12	3.0	0.10767010767010769	9287.628865979379	1329.6703296703297	
1.7127131225307854E12	3.0	0.10767010767010769	9287.628865979379	1331.8681318681317	
1.7127131225502876E12	3.0	0.10767010767010769	9287.628865979379	1328.937728937729	
1.7127131225697898E12	3.0	0.10767010767010769	9287.628865979379	1326.007326007326	
1.712713122589292E12	3.0	0.10767010767010769	9287.628865979379	1313.5531135531135	
1.7127131226087942E12	3.0	0.10767010767010769	9287.628865979379	1296.7032967032967	
1.7127131226282964E12	3.0	0.10767010767010769	9287.628865979379	1273.260073260073	
1.7127131226477986E12	3.0	0.10722610722610726	9326.086956521736	1254.9450549450548	
1.712713122667301E12	3.0	0.10767010767010769	9287.628865979379	1229.3040293040292	
1.7127131226868032E12	3.0	0.10767010767010769	9287.628865979379	1215.3846153846152	
1.7127131227063054E12	3.0	0.10767010767010769	9287.628865979379	1204.3956043956043	
1.7127131227258076E12	3.0	0.10722610722610726	9326.086956521736	1193.4065934065934	
1.7127131227453098E12	3.0	0.10722610722610726	9326.086956521736	1194.8717948717947	
1.712713122764812E12	3.0	0.10722610722610726	9326.086956521736	1193.4065934065934	
1.7127131227843142E12	3.0	0.10678210678210681	9364.864864864863	1180.2197802197802	
1.7127131228038164E12	3.0	0.10722610722610726	9326.086956521736	1162.6373626373625	
1.7127131228233188E12	3.0	0.10722610722610726	9326.086956521736	1166.3003663003662	
1.712713122842821E12	3.0	0.10678210678210681	9364.864864864863	1175.8241758241757	
1.7127131228623232E12	3.0	0.10678210678210681	9364.864864864863	1177.2893772893772	
1.7127131228818254E12	3.0	0.10678210678210681	9364.864864864863	1167.7655677655678	
1.7127131229013276E12	3.0	0.10722610722610726	9326.086956521736	1158.974358974359	
1.7127131229208298E12	3.0	0.10678210678210681	9364.864864864863	1145.7875457875457	
1.712713122940332E12	3.0	0.10678210678210681	9364.864864864863	1143.5897435897434	
1.7127131229598342E12	3.0	0.10678210678210681	9364.864864864863	1167.7655677655678	
1.7127131229793367E12	3.0	0.10678210678210681	9364.864864864863	1225.6410256410256	
1.7127131229988389E12	3.0	0.10678210678210681	9364.864864864863	1336.263736263736	
1.712713123018341E12	3.0	0.10678210678210681	9364.864864864863	1493.040293040293	
1.7127131230378433E12	3.0	0.10678210678210681	9364.864864864863	1633.6996336996335	
